מקור,מאפיינים,קוד,טיפוס,שם משתנה,שם שדה,עד,-מ
,"ת""ד מורחב",1,"N10
N8","PK_TEUNA_FIKT
SUG_TIK","מספר תאונה פיקטיבי
סוג תיק","10
18","1
11"
,"ישראל ללא
יהודה ושומרון",1,N8,THUM_GEOGRAFI,תחום גאוגרפי,26,19
,יהודה והשומרון,2,,THUM_GEOGRAFI,,,
,עירוני בצומת,1,N8,SUG_DEREH,סוג דרך,34,27
,עירוני לא בצומת,2,,SUG_DEREH,,,
,לא עירוני בצומת,3,,SUG_DEREH,,,
,"לא עירוני לא
בצומת",4,,SUG_DEREH,,,
,,,N8,SEMEL_YISHUV,"סמל ישוב
ראה קובץ ""רשימת ישובים ואוכלסיתם""
בנספח המתודולוגי המצ""ב",42,35
מילון רחובות,,,N8,REHOV1,רחוב 1,50,43
מילון רחובות,,,N8,REHOV2,רחוב 2,58,51
,,,N8,MISPAR_BAIT,מס' בית,66,59
מילון צמתים עירוניים,,,N8,ZOMET_IRONI,צומת עירוני,74,67
,,,N8,KVISH1,דרך לא עירונית 1,82,75
,,,N8,KVISH2,דרך לא עירונית 2,90,83
,,,N8,KM,"ק""מ
[מאות מטרים], כאשר מאות מטר לא
ידוע, מסומן ""-""",98,91
מילון צמתים לא עירוניים,,,N8,ZOMET_LO_IRONI,צומת לא עירוני,106,99
,מרחב חוף (חיפה),11,N8,YEHIDA,יחידה משטרתית,114,107
,מרחב גליל,12,,YEHIDA,,,
,מרחב עמקים,14,,YEHIDA,,,
,"מרחב ת""א",20,,YEHIDA,,,
,מרחב אילת,33,,YEHIDA,,,
,מרחב הנגב,34,,YEHIDA,,,
,"מרחב שמשון (עד
1999)",36,,YEHIDA,,,
,"מרחב שמשון
(החל ב-2004)",37,,YEHIDA,,,
,מרחב לכיש,38,,YEHIDA,,,
,מרחב שומרון,41,,YEHIDA,,,
,מרחב יהודה,43,,YEHIDA,,,
,מרחב השרון,51,,YEHIDA,,,
,מרחב השפלה,52,,YEHIDA,,,
,מחוז ירושלים,61,,YEHIDA,,,
,,,N8,SHNET_TEUNA,שנת תאונה,122,115
מילון-טבלה מס' 60,,,N8,HODESH_TEUNA,חודש תאונה,130,123
מילון-טבלה מס' 97,,,N8,YOM_BE_HODES,יום בחודש,138,131
מילון-טבלה מס' 93,,,N8,SHAA,שעה,146,139
,חג,1,N8,SUG_YOM,סוג יום,154,147
,ערב חג,2,,SUG_YOM,,,
,חול המועד,3,,SUG_YOM,,,
,יום אחר,4,,SUG_YOM,,,
,יום,1,N8,YOM_LAYLA,יום/לילה,162,155
,לילה,5,,YOM_LAYLA,,,
,ראשון,1,N8,YOM_BASHAVUA,יום בשבוע,170,163
,שני,2,,YOM_BASHAVUA,,,
,שלישי,3,,YOM_BASHAVUA,,,
,רביעי,4,,YOM_BASHAVUA,,,
,חמישי,5,,YOM_BASHAVUA,,,
,שישי,6,,YOM_BASHAVUA,,,
,שבת,7,,YOM_BASHAVUA,,,
,לא,0,N8,RAMZOR,מרומזר/לא מרומזר,178,171
,כן,1,,RAMZOR,,,
,לא ידוע,9,,RAMZOR,,,
,קטלנית,1,N8,HUMRAT_TEUNA,חומרת התאונה,186,179
,קשה,2,,HUMRAT_TEUNA,,,
,קלה,3,,HUMRAT_TEUNA,,,
,פגיעה בהולך רגל,1,N8,SUG_TEUNA,סוג תאונה,194,187
,"התנגשות חזית
אל צד",2,,SUG_TEUNA,,,
,"התנגשות חזית
באחור",3,,SUG_TEUNA,,,
,התנגשות צד בצד,4,,SUG_TEUNA,,,
,"התנגשות חזית
אל חזית",5,,SUG_TEUNA,,,
,"התנגשות עם רכב שנעצר ללא
חניה",6,,SUG_TEUNA,,,
,התנגשות עם רכב חונה,7,,SUG_TEUNA,,,
,התנגשות עם עצם דומם,8,,SUG_TEUNA,,,
,"ירידה מהכביש או
עלייה למדרכה",9,,SUG_TEUNA,,,
,התהפכות,10,,SUG_TEUNA,,,
,החלקה,11,,SUG_TEUNA,,,
,פגיעה בנוסע בתוך כלי רכב,12,,SUG_TEUNA,,,
,נפילה ברכב נע,13,,SUG_TEUNA,,,
,שריפה,14,,SUG_TEUNA,,,
,אחר,15,,SUG_TEUNA,,,
,"התנגשות אחור
אל חזית",17,,SUG_TEUNA,,,
,"התנגשות אחור
אל צד",18,,SUG_TEUNA,,,
,התנגשות עם בעל חיים,19,,SUG_TEUNA,,,
,"פגיעה ממטען של
רכב",20,,SUG_TEUNA,,,
,כניסה למחלף,1,N8,ZURAT_DEREH,צורת הדרך,202,195
,ביציאה ממחלף,2,,ZURAT_DEREH,,,
,מ.חניה/ת. דלק,3,,ZURAT_DEREH,,,
,שיפוע תלול,4,,ZURAT_DEREH,,,
,עקום חד,5,,ZURAT_DEREH,,,
,על גשר מנהרה,6,,ZURAT_DEREH,,,
,"מפגש מסילת
ברזל",7,,ZURAT_DEREH,,,
,כביש ישר/צומת,8,,ZURAT_DEREH,,,
,אחר,9,,ZURAT_DEREH,,,
,תחנת אוטובוס,10,,ZURAT_DEREH,,,
,"נתיב תחבורה
ציבורית",,,ZURAT_DEREH,,,
,חד סיטרי,1,N8,HAD_MASLUL,"דרך חד מסלולית (חלופה
ל""דרך רב מסלולית"")",210,203
,דו סיטרי+קו הפרדה רצוף,2,,HAD_MASLUL,,,
,דו סיטרי אין קו הפרדה רצוף,3,,HAD_MASLUL,,,
,אחר,4,,HAD_MASLUL,,,
,"לא ידוע מספר
מסלולים",9,,HAD_MASLUL,,,
,"מיפרדה מסומנת
בצבע",1,N8,RAV_MASLUL,"דרך רב מסלולית (חלופה
ל""דרך חד מסלולית"")",218,211
,"מיפרדה עם גדר
בטיחות",2,,RAV_MASLUL,,,
,מיפרדה בנויה ללא גדר בטיחות,3,,RAV_MASLUL,,,
,מיפרדה לא בנויה,4,,RAV_MASLUL,,,
,אחר,5,,RAV_MASLUL,,,
,לא ידוע,0,N8,MEHIRUT_MUTERET,מהירות מותרת,226,219
,"עד 50 קמ""ש",1,,MEHIRUT_MUTERET,,,
,"60 קמ""ש",2,,MEHIRUT_MUTERET,,,
,"70 קמ""ש",3,,MEHIRUT_MUTERET,,,
,"80 קמ""ש",4,,MEHIRUT_MUTERET,,,
,"90 קמ""ש",5,,MEHIRUT_MUTERET,,,
,"קמ""ש‎ 100",6,,MEHIRUT_MUTERET,,,
,"קמ""ש‎ 110",7,,MEHIRUT_MUTERET,,,
,לא ידוע,0,N8,TKINUT,תקינות הדרך,234,227
,אין ליקוי,1,,TKINUT,,,
,שוליים גרועים,2,,TKINUT,,,
,כביש משובש,3,,TKINUT,,,
,שוליים גרועים וכביש משובש,4,,TKINUT,,,
,לא ידוע,0,N8,ROHAV,רוחב הכביש,242,235
,עד 5 מטר,1,,ROHAV,,,
,7 עד‎ 5,2,,ROHAV,,,
,10.5 עד‎ 7,3,,ROHAV,,,
,14 עד‎ 10.5,4,,ROHAV,,,
,יותר מ-14,5,,ROHAV,,,
,סימון לקוי/חסר,1,N8,SIMUN_TIMRUR,סימון/תימרור,250,243
,תימרור לקוי/חסר,2,,SIMUN_TIMRUR,,,
,אין ליקוי,3,,SIMUN_TIMRUR,,,
,לא נדרש תמרור,4,,SIMUN_TIMRUR,,,
,לא ידוע,5,,SIMUN_TIMRUR,,,
,אור יום רגיל,1,N8,TEURA,תאורה,258,251
,"ראות מוגבלת עקב מזג אויר (עשן,ערפל)",2,,TEURA,,,
,"לילה פעלה
תאורה",3,,TEURA,,,
,"קיימת תאורה בלתי תקינה/לא
פועלת",4,,TEURA,,,
,"לילה לא קיימת
תאורה",5,,TEURA,,,
,לילה לא ידוע,6,,TEURA,,,
,"לילה תאורה תקינה עם ראות
מוגבלת",7,,TEURA,,,
,"לילה תאורה לא תקינה עם ראות
מוגבלת",8,,TEURA,,,
,לילה ללא תאורה עם ראות מוגבלת,9,,TEURA,,,
,דמדומים,10,,TEURA,,,
,יום לא ידוע,11,,TEURA,,,
,אין בקרה,1,N8,BAKARA,בקרה בצומת (קיים,266,259
,רמזור תקין,2,,BAKARA,"רק בסוג דרך 1,3)",,
,"רמזור מהבהב
צהוב",3,,BAKARA,,,
,רמזור לא תקין,4,,BAKARA,,,
,תמרור עצור,5,,BAKARA,,,
,"תמרור זכות
קדימה",6,,BAKARA,,,
,אחר,7,,BAKARA,,,
,בהיר,1,N8,MEZEG_AVIR,מזג אויר,274,267
,גשום,2,,MEZEG_AVIR,,,
,שרבי,3,,MEZEG_AVIR,,,
,ערפילי,4,,MEZEG_AVIR,,,
,אחר,5,,MEZEG_AVIR,,,
,לא ידוע,9,,MEZEG_AVIR,,,
,יבש,1,N8,PNE_KVISH,מצב פני הכביש,282,275
,רטוב ממים,2,,PNE_KVISH,,,
,מרוח בחומר דלק,3,,PNE_KVISH,,,
,מכוסה בבוץ,4,,PNE_KVISH,,,
,"חול או חצץ על
הכביש",5,,PNE_KVISH,,,
,אחר,6,,PNE_KVISH,,,
,לא ידוע,9,,PNE_KVISH,,,
,עץ,1,N8,SUG_EZEM,סוג העצם (רק בסוג תאונה 8),290,283
,"עמוד חשמל/תאורה/טל
פון",2,,SUG_EZEM,,,
,תמרור ושלט,3,,SUG_EZEM,,,
,גשר סימניו ומגיניו,4,,SUG_EZEM,,,
,מבנה,5,,SUG_EZEM,,,
,גדר בטיחות לרכב,6,,SUG_EZEM,,,
,חבית,7,,SUG_EZEM,,,
,אחר,8,,SUG_EZEM,,,
,לא ידוע,9,,SUG_EZEM,,,
,עד מטר,1,N8,MERHAK_EZEM,"מרחק העצם (רק בסוג תאונה
8)",298,291
,1-3 מטר,2,,MERHAK_EZEM,,,
,על הכביש,3,,MERHAK_EZEM,,,
,על שטח הפרדה,4,,MERHAK_EZEM,,,
,לא ידוע,9,,MERHAK_EZEM,,,
,הלך בכיוון התנועה,1,N8,LO_HAZA,"לא חצה (רק בסוג תאונה1,
חלופה ל""אופן חצייה"")",306,299
,הלך נגד,2,,LO_HAZA,,,
,שיחק על הכביש,3,,LO_HAZA,,,
,עמד על הכביש,4,,LO_HAZA,,,
,היה על אי הפרדה,5,,LO_HAZA,,,
,היה על שוליים/מדרכה,6,,LO_HAZA,,,
,אחר,7,,LO_HAZA,,,
,לא ידוע,9,,LO_HAZA,,,
,התפרץ אל הכביש,1,N8,OFEN_HAZIYA,"אופן חציה (רק בסוג תאונה1,
חלופה ל""לא חצה"")",314,307
,חצה שהוא מוסתר,2,,OFEN_HAZIYA,,,
,חצה רגיל,3,,OFEN_HAZIYA,,,
,אחר,4,,OFEN_HAZIYA,,,
,לא חצה,8,,OFEN_HAZIYA,,,
,לא ידוע עם חצה,9,,OFEN_HAZIYA,,,
,"לא במעבר חציה
ליד צומת",1,N8,MEKOM_HAZIYA,מקום חציה (רק בסוג תאונה 1),322,315
,לא במעבר חציה לא ליד צומת,2,,MEKOM_HAZIYA,,,
,"במעבר חציה בלי
רמזור",3,,MEKOM_HAZIYA,,,
,"במעבר חציה עם
רמזור",4,,MEKOM_HAZIYA,,,
,"לא ידוע מקום
חציה",9,,MEKOM_HAZIYA,,,
,מימין לשמאל,1,N8,KIVUN_HAZIYA,כיוון חציה (רק בסוג תאונה 1),330,323
,משמאל לימין,2,,KIVUN_HAZIYA,,,
,לא ידוע,9,,KIVUN_HAZIYA,,,
מילון-טבלה מס' 77,,,N8,MAHOZ,"מחוז (רק בסוג דרך 1,2)",338,331
מילון-טבלה מס' 79,,,N8,NAFA,"נפה (רק בסוג דרך 1,2)",346,339
מילון-טבלה מס' 80,,,N8,EZOR_TIVI,"אזור טבעי (רק בסוג דרך 1,2)",354,347
מילון-טבלה מס' 78,,,N2,MAAMAD_MINIZIPALI,"מעמד מוניצפלי (רק בסוג דרך
1,2)",356,355
